ProductName,Rating,Price,OriginalPrice,Discount,Reviews,Features,PageNumber,Ratings1,Reviews1,Number_Ratings,Number_Reviews,Brand,Ton,Star,AC_Type,Power_Usage,Room_Size
"LG 2025 Model 1.5 Ton 5 Star Split Dual Inverter with Faster Cooling and Energy Saving, AI Convertible...",4.2,42990,78990,45,"46,175 Ratings & 4,255 Reviews",Annual Power Usage: 744.75 kWhRoom Size: 111 - 150 sqft1 Year Manufacturing Warranty on Product,10,"46,175 Ratings "," 4,255 Reviews",46175,4255,LG,1.5,5.0,Split,744.75,111 - 150 sqft
Lloyd 2023 Model 1 Ton 2 Star Window Fixed Speed AC,3.9,25890,39990,35,830 Ratings & 83 Reviews,Annual Power Usage: 808.94 UnitsRoom Size: 90 sqft or Below1 Year Comprehensive Warranty on Product and 5 Years Warranty on Compressor,10,830 Ratings , 83 Reviews,830,83,Lloyd,1.0,2.0,Window,808.94,90 sqft
Daikin 2025 Model 1.5 Ton 3 Star Split Inverter AC,4.2,41850,58400,28,"24,785 Ratings & 1,912 Reviews",Annual Power Usage: 966.47 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product and  5 Years Warranty on PCB and 10 Years Warranty on Compressor,10,"24,785 Ratings "," 1,912 Reviews",24785,1912,Daikin,1.5,3.0,Split,966.47,111 - 150 sqft
Godrej 2025 Model 1 Ton 3 Star Split Inverter 5-In-1-Convertible Cooling with Heavy Duty Cooling At Ex...,4.0,26490,38600,31,"8,298 Ratings & 716 Reviews","Annual Power Usage: 1034 UnitsRoom Size: 90 sqft or Below5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 7 days of purchase) and 10 Years Warranty on Compressor",10,"8,298 Ratings ", 716 Reviews,8298,716,Godrej,1.0,3.0,Split,1034.0,90 sqft
"CARRIER 2026 Model 1.5 Ton 3 Star Split AI Inverter Convertible 6-in-1 with Smart Energy Display, Inst...",4.2,32490,65500,50,"38,222 Ratings & 4,626 Reviews","Annual Power Usage: 854.39 kWhRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Years on PCB and 10 Years on the Compressor",10,"38,222 Ratings "," 4,626 Reviews",38222,4626,CARRIER,1.5,3.0,Split,854.39,111 - 150 sqft
Panasonic 2025 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,4.2,38490,59300,35,"22,111 Ratings & 2,346 Reviews","Annual Power Usage: 759.55 UnitsRoom Size: 111 - 150 sqft1 Year Comprehensive warranty on Product,
5 Years warranty on PCB & 
10 Years warranty on Compressor",10,"22,111 Ratings "," 2,346 Reviews",22111,2346,Panasonic,1.5,5.0,Split,759.55,111 - 150 sqft
Godrej 2025 Model 1.5 Ton 5 Star Window Inverter Turbo Mode Anti-Dust Filter with Anti-Freeze Thermost...,4.0,29860,46990,36,719 Ratings & 67 Reviews,"Annual Power Usage: 1111.14 UnitsRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product, aplicable on purchase after Oct'25 (Warranty can be availed after registering on Brand website within 7 days of purchase) and 10 Years Warranty on Compressor",10,719 Ratings , 67 Reviews,719,67,Godrej,1.5,5.0,Window,1111.14,111 - 150 sqft
Lloyd 2025 Model 1.5 Ton 5 Star Split Inverter AC,4.1,38490,61990,37,"11,881 Ratings & 1,355 Reviews","Annual Power Usage: 715.07 WRoom Size: 111 - 150 sqft1 Year Warranty on Product, 5 Year Warranty on Component & 10 Year Warranty on Compressor.",10,"11,881 Ratings "," 1,355 Reviews",11881,1355,Lloyd,1.5,5.0,Split,715.07,111 - 150 sqft
Panasonic 2025 Model 2 Ton 3 Star Split Inverter with Wi-fi AC,4.2,42990,64800,33,942 Ratings & 81 Reviews,"Annual Power Usage: 1200.23 UnitsRoom Size: 151 - 200 sqft1 Year Comprehensive warranty on Product,
5 Years warranty on PCB & 
10 Years warranty on Compressor",10,942 Ratings , 81 Reviews,942,81,Panasonic,2.0,3.0,Split,1200.23,151 - 200 sqft
Whirlpool 2026 Model 1.5 Ton 3 Star Split Inverter AC,4.1,32240,57150,43,"30,027 Ratings & 3,540 Reviews","Annual Power Usage: 858.22 kWhRoom Size: 111 - 150 sqft1 year warranty on product, 5 years  warranty on compressor",10,"30,027 Ratings "," 3,540 Reviews",30027,3540,Whirlpool,1.5,3.0,Split,858.22,111 - 150 sqft
